zipcode,mean_household_income
91201,53435
91502,57242
91401,56211
91316,156415
91506,75027
90502,73889
90262,67501
90703,72577
91744,79566
90304,42942
90815,110568
91010,70305
90302,54046
90012,26685
90014,29612
91321,81605
90280,56506
91104,88154
91105,224652
91214,112913
91202,116924
91304,98185
90042,52306
90041,78972
90291,86149
90064,127825
90067,198037
90018,60366
91345,84394
90245,91775
90255,53458
90270,47692
90630,88208
90623,102712
93636,91724
93604,59147
93653,60759
93623,79744
94957,258849
94929,118315
94924,87280
94950,87280
95311,66348
95490,56703
95482,57807
95488,43696
95410,55006
95303,71252
95365,47279
93529,74880
96133,48322
95076,106713
93450,80031
93928,80031
93950,82073
94559,134166
95946,70496
95715,76298
95986,57464
92683,42160
92626,72767
92679,201123
92832,82484
92782,117711
96146,67172
95746,149021
95604,65044
95983,46638
92880,113131
92562,153597
92539,60526
91752,93015
92585,63580
92553,53029
92505,63641
92508,102366
95838,51233
95817,51658
95815,50094
95816,52015
95641,66401
95624,150513
94571,67397
95742,110399
95621,72847
95825,41931
95045,101869
92356,53377
91730,61428
91762,96837
91763,65744
91739,146319
92333,54645
92363,38472
92411,37007
92316,60485
92391,60305
92322,63347
92122,47580
92126,77462
91942,50672
91950,39148
92007,122339
91980,64774
94118,110322
94116,98228
94123,131367
95209,99157
95231,56567
95337,96925
95366,138541
93445,95357
93453,78589
93465,103703
94063,100129
94402,329218
94005,117598
93429,47529
95110,124173
95070,215724
95131,117155
95054,117532
94089,80031
95013,105871
95005,120065
95006,124360
95066,121506
96017,74481
96088,57722
96022,64452
96027,50389
96038,57319
94591,129077
95694,76154
95450,86938
95471,63963
95430,55468
95382,60255
95316,81716
95386,66631
95323,81716
95659,90622
96063,54735
96061,54735
96041,40183
96046,40183
93291,59181
93271,75084
93244,75084
93603,75084
93262,75084
93003,107960
93041,61020
95653,82894
95962,56398
94609,52380
94606,45485
94702,62662
94539,224261
94588,174271
94568,96308
94610,201250
94707,190541
95685,72559
95666,60127
95699,72559
95966,49341
95965,48189
95973,54735
95255,48110
95257,48110
95250,62276
95254,78725
95987,62457
94582,99790
94521,89506
94528,240002
94575,179409
95548,39967
95726,69557
95709,72246
95636,79260
95623,79646
95720,56924
95735,69557
93631,42810
93651,94065
93602,83478
93711,120704
93722,60312
93626,59147
95939,92318
95920,66228
95526,73784
95589,49350
95537,54200
92004,51110
92273,53106
93514,74880
