GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008
"G75251","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75251",,,,,"ZCTA5 75251",,2331,2331,1608,302,8,234,2,116,61
"G75252","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75252",,,,,"ZCTA5 75252",,24112,24112,16215,2498,88,3337,22,1289,663
"G75253","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75253",,,,,"ZCTA5 75253",,18450,18450,11299,2069,251,63,4,4168,596
"G75254","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75254",,,,,"ZCTA5 75254",,23253,23253,12831,4414,156,1192,10,3943,707
"G75270","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75270",,,,,"ZCTA5 75270",,0,0,0,0,0,0,0,0,0
"G75287","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75287",,,,,"ZCTA5 75287",,49004,49004,27404,11462,260,3589,22,4556,1711
"G75390","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75390",,,,,"ZCTA5 75390",,0,0,0,0,0,0,0,0,0
"G75401","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75401",,,,,"ZCTA5 75401",,18552,18552,11506,3553,185,106,55,2563,584
"G75402","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75402",,,,,"ZCTA5 75402",,15920,15920,14003,1010,106,218,21,290,272
"G75407","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75407",,,,,"ZCTA5 75407",,14120,14120,11456,531,123,132,8,1504,366
"G75409","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75409",,,,,"ZCTA5 75409",,11831,11831,9734,651,116,77,5,918,330
"G75410","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75410",,,,,"ZCTA5 75410",,4334,4334,4029,11,46,14,0,172,62
"G75411","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75411",,,,,"ZCTA5 75411",,1118,1118,1025,13,28,2,0,30,20
"G75412","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75412",,,,,"ZCTA5 75412",,778,778,713,28,16,1,1,5,14
"G75413","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75413",,,,,"ZCTA5 75413",,305,305,291,1,0,3,0,5,5
"G75414","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75414",,,,,"ZCTA5 75414",,3136,3136,2966,30,53,8,0,15,64
"G75415","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75415",,,,,"ZCTA5 75415",,144,144,123,14,4,1,0,0,2
"G75416","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75416",,,,,"ZCTA5 75416",,2893,2893,2719,61,20,5,2,58,28
"G75417","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75417",,,,,"ZCTA5 75417",,2456,2456,2343,24,23,3,0,39,24
"G75418","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75418",,,,,"ZCTA5 75418",,14411,14411,11618,1529,161,58,2,771,272
"G75420","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75420",,,,,"ZCTA5 75420",,1076,1076,954,7,8,1,0,88,18
"G75421","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75421",,,,,"ZCTA5 75421",,1003,1003,860,94,13,3,0,8,25
