"county"	"state"	"region"	"population2000"	"black2000"	"white2000"	"medianincome2000"	"poverty2000"	"blue2000"	"red2000"	"population2008"	"black2008"	"white2008"	"medianincome2008"	"poverty2008"	"blue2008"	"red2008"	"population2010"	"black2010"	"white2010"	"medianincome2010"	"poverty2010"	"blue2010"	"red2010"	"blue2012"	"red2012"
"02150"	"alaska"	"pacific"	13913	0.00963	0.59685	50879	0.07058	0	0	13592	0.00677	0.55341	62574	0.07607	0	0	13592	0.00677	0.55341	62574	0.07607	0	0	0	0
"02164"	"alaska"	"pacific"	1823	0.00055	0.1876	35025	0.15908	0	0	1631	0.00552	0.23299	42236	0.15573	0	0	1631	0.00552	0.23299	42236	0.15573	0	0	0	0
"02170"	"alaska"	"pacific"	59322	0.00693	0.87553	49562	0.09047	0	0	88995	0.00962	0.84881	70442	0.08774	0	0	88995	0.00962	0.84881	70442	0.08774	0	0	0	0
"02180"	"alaska"	"pacific"	9196	0.00381	0.19324	38310	0.16888	0	0	9492	0.00284	0.16351	48174	0.19996	0	0	9492	0.00284	0.16351	48174	0.19996	0	0	0	0
"02185"	"alaska"	"pacific"	7385	0.00718	0.17089	58694	0.07651	0	0	9430	0.00997	0.33372	75057	0.07879	0	0	9430	0.00997	0.33372	75057	0.07879	0	0	0	0
"02188"	"alaska"	"pacific"	7208	0.00208	0.1232	42821	0.15524	0	0	7523	0.00492	0.11246	52272	0.16283	0	0	7523	0.00492	0.11246	52272	0.16283	0	0	0	0
"02195"	"alaska"	"pacific"	6684	0.00224	0.7304	46203	0.08064	0	0	3815	0.00393	0.71062	51374	0.1502	0	0	3815	0.00393	0.71062	51374	0.1502	0	0	0	0
"02198"	"alaska"	"pacific"	6146	0.00146	0.53124	38336	0.1383	0	0	5559	0.00306	0.50351	43210	0.15093	0	0	5559	0.00306	0.50351	43210	0.15093	0	0	0	0
"02220"	"alaska"	"pacific"	8835	0.00317	0.685	50624	0.06429	0	0	8881	0.00529	0.65285	59536	0.07623	0	0	8881	0.00529	0.65285	59536	0.07623	0	0	0	0
"02230"	"alaska"	"pacific"	0	0	0	0	0	0	0	968	0	0.91426	63947	0	0	0	968	0	0.91426	63947	0	0	0	0	0
"02240"	"alaska"	"pacific"	6174	0.01976	0.78993	38244	0.15581	0	0	7029	0.01081	0.80396	54749	0.12619	0	0	7029	0.01081	0.80396	54749	0.12619	0	0	0	0
"02261"	"alaska"	"pacific"	10195	0.00324	0.759	49124	0.07612	0	0	9636	0.00477	0.73962	60780	0.08198	0	0	9636	0.00477	0.73962	60780	0.08198	0	0	0	0
"02270"	"alaska"	"pacific"	7028	0.00057	0.04738	27567	0.28856	0	0	7459	0.00013	0.02695	30238	0.30084	0	0	7459	0.00013	0.02695	30238	0.30084	0	0	0	0
"02275"	"alaska"	"pacific"	0	0	0	0	0	0	0	2369	0.00169	0.72562	48021	0	0	0	2369	0.00169	0.72562	48021	0	0	0	0	0
"02282"	"alaska"	"pacific"	808	0.00124	0.50371	43150	0.08045	0	0	662	0.00302	0.42447	52102	0.12991	0	0	662	0.00302	0.42447	52102	0.12991	0	0	0	0
"02290"	"alaska"	"pacific"	6551	0.00092	0.24271	28867	0.17432	0	0	5588	0.00179	0.22244	32125	0.25233	0	0	5588	0.00179	0.22244	32125	0.25233	0	0	0	0
"04001"	"arizona"	"mountain"	69423	0.00249	0.19498	24244	0.296	0.67025	0.30603	71518	0.00245	0.23258	28956	0.32038	0.63433	0.35244	71518	0.00245	0.23258	28956	0.32038	0.63433	0.35244	0.661024936186923	0.321932063616729
"04003"	"arizona"	"mountain"	117755	0.04519	0.76658	32903	0.16055	0.40236	0.54752	131346	0.04161	0.78484	43786	0.14944	0.38802	0.59455	131346	0.04161	0.78484	43786	0.14944	0.38802	0.59455	0.370591191520468	0.610882675438597
"04005"	"arizona"	"mountain"	116320	0.01045	0.63085	38249	0.15381	0.49605	0.42957	134421	0.01212	0.61722	49777	0.14952	0.57841	0.40825	134421	0.01212	0.61722	49777	0.14952	0.57841	0.40825	0.562957258375048	0.414324220254139
"04007"	"arizona"	"mountain"	51335	0.00384	0.77824	31295	0.17386	0.43415	0.51635	53597	0.00435	0.76799	36764	0.15344	0.35302	0.63113	53597	0.00435	0.76799	36764	0.15344	0.35302	0.63113	0.359906911295124	0.623748444011474
"04009"	"arizona"	"mountain"	33489	0.01866	0.67106	29860	0.19194	0.34716	0.62159	37220	0.01835	0.72077	40609	0.19033	0.29041	0.69759	37220	0.01835	0.72077	40609	0.19033	0.29041	0.69759	0.304369832967775	0.681289016365784
"04011"	"arizona"	"mountain"	8547	0.00515	0.74166	41181	0.09372	0.41081	0.54696	8437	0.01055	0.77208	56855	0.10644	0.39993	0.58771	8437	0.01055	0.77208	56855	0.10644	0.39993	0.58771	0.440780619111709	0.534993270524899
"04012"	"arizona"	"mountain"	19715	0.00786	0.74152	25986	0.20264	0.3946	0.56725	20489	0.0063	0.69823	30939	0.25194	0.34744	0.63202	20489	0.0063	0.69823	30939	0.25194	0.34744	0.63202	0.328931328728159	0.6511580658269
"04013"	"arizona"	"mountain"	3072149	0.03729	0.77352	47024	0.10485	0.42974	0.53341	3817117	0.04991	0.73007	53284	0.13654	0.44116	0.54686	3817117	0.04991	0.73007	53284	0.13654	0.44116	0.54686	0.431343343937025	0.551668564997035
"04015"	"arizona"	"mountain"	155032	0.00537	0.90056	31515	0.1567	0.39578	0.55246	200186	0.0094	0.86858	39863	0.16204	0.32678	0.65577	200186	0.0094	0.86858	39863	0.16204	0.32678	0.65577	0.277851066733385	0.704210829580433
"04017"	"arizona"	"mountain"	97470	0.00879	0.45914	28868	0.24118	0.469	0.49254	107449	0.00873	0.493	34855	0.23683	0.43517	0.55198	107449	0.00873	0.493	34855	0.23683	0.43517	0.55198	0.45162823200559	0.535429769392034
"04019"	"arizona"	"mountain"	843746	0.03033	0.75068	37461	0.12963	0.51345	0.43311	980263	0.03537	0.74342	43243	0.15612	0.52425	0.46363	980263	0.03537	0.74342	43243	0.15612	0.52425	0.46363	0.521492707856641	0.463101555638301
"04021"	"arizona"	"mountain"	179727	0.02759	0.70417	35134	0.15157	0.4759	0.48733	375770	0.04581	0.72388	49088	0.11536	0.42194	0.56655	375770	0.04581	0.72388	49088	0.11536	0.42194	0.56655	0.405604127708319	0.577125290045918
"04023"	"arizona"	"mountain"	38381	0.00378	0.75996	31123	0.22055	0.58844	0.37603	47420	0.00377	0.73461	35545	0.1667	0.65271	0.33962	47420	0.00377	0.73461	35545	0.1667	0.65271	0.33962	0.682740751403484	0.304807830718296
"04025"	"arizona"	"mountain"	167517	0.00391	0.91891	34241	0.12161	0.35344	0.58964	211033	0.006	0.8933	40837	0.12981	0.37019	0.61408	211033	0.006	0.8933	40837	0.12981	0.37019	0.61408	0.337059613596446	0.644539725178221
"04027"	"arizona"	"mountain"	160026	0.02218	0.68282	31297	0.21178	0.42074	0.54823	195751	0.02008	0.70437	38251	0.20667	0.42552	0.5635	195751	0.02008	0.70437	38251	0.20667	0.42552	0.5635	0.413290113452188	0.574627965227641
"05001"	"arkansas"	"west_south_central"	20749	0.23365	0.75194	31544	0.15847	0.45151	0.52621	19019	0.24507	0.71818	37693	0.19933	0.37532	0.59974	19019	0.24507	0.71818	37693	0.19933	0.37532	0.59974	0.378236744759556	0.599876695437731
