STCOU,County Population,Black Population (%),White Population (%),Median Income,% Below Poverty,Blue,Red
20099,22835,0.046595139,0.892752354,31867,0.123231881,0.438627313,0.52412743
20101,2155,0,0.977262181,37661,0.090023202,0.222418358,0.746690203
20103,68691,0.104234907,0.84179878,48525,0.069339506,0.418245885,0.540715913
20105,3578,0.001117943,0.982951369,32099,0.095584125,0.248148148,0.685185185
20107,9570,0.006269592,0.975026123,36066,0.115256008,0.372622681,0.590044611
20109,3046,0.005909389,0.967170059,34332,0.087655942,0.165354331,0.778811739
20111,35935,0.022679839,0.832725755,34209,0.109419786,0.41670012,0.534082698
20113,29554,0.008120728,0.965250051,42802,0.063206334,0.262579247,0.68220849
20115,13361,0.004715216,0.970586034,35315,0.087867675,0.249872946,0.704048789
20117,10965,0.002279982,0.981395349,34143,0.092658459,0.357966764,0.59941349
20119,4631,0.003886849,0.911034334,39218,0.080760095,0.194836824,0.781295665
20121,28351,0.015378646,0.959613418,45263,0.071743501,0.392349444,0.569570087
20123,6932,0.005193306,0.976053087,34863,0.0813618,0.229944887,0.719534599
20125,36252,0.060658722,0.85774578,32223,0.11817279,0.347035286,0.618115678
20127,6104,0.003440367,0.974934469,33913,0.091415465,0.333964407,0.60545248
20129,3496,0.002002288,0.883867277,39602,0.092963387,0.206165703,0.772639692
20131,10717,0.004945414,0.983484184,36091,0.089017449,0.28241966,0.67637051
20133,16997,0.008707419,0.948990998,33312,0.10978408,0.375835028,0.58292187
20135,3454,0.000579039,0.982339317,34919,0.070063694,0.204157783,0.756929638
20137,5953,0.04048379,0.933478918,32688,0.093566269,0.243982048,0.711546308
20139,16712,0.002154141,0.972714217,39028,0.085567257,0.382579767,0.570089218
20141,4452,0.000673854,0.986073675,30057,0.10309973,0.238423645,0.705418719
20143,6163,0.005354535,0.975336687,39498,0.074801233,0.226083841,0.708348262
20145,7233,0.050048389,0.909581087,36007,0.089451127,0.329251701,0.629251701
20147,6001,0.002499583,0.982502916,35781,0.096150642,0.218839542,0.736747851
20149,18209,0.006645066,0.963205009,42448,0.077708825,0.263484672,0.644806623
20151,9647,0.009847621,0.952835078,36882,0.093604229,0.297554348,0.653306159
20153,2966,0.00303439,0.985165206,33262,0.100472016,0.175862069,0.775287356
20155,64790,0.028785306,0.915573391,36939,0.100648248,0.354895792,0.596893433
20157,5835,0.002570694,0.985604113,31339,0.102827763,0.202345059,0.750083752
20159,10761,0.011523093,0.946752161,36226,0.097574575,0.31460177,0.642256637
20161,62843,0.068822303,0.847843037,33812,0.100949986,0.339012765,0.584671013
20163,5685,0.011257696,0.971328056,31591,0.108355321,0.215135135,0.726486486
20165,3551,0.003097719,0.984511405,32084,0.103351169,0.272384035,0.666127292
20167,7370,0.005020353,0.975848033,30057,0.109497965,0.254451465,0.69902355
20169,53597,0.030971883,0.891729015,39371,0.084780865,0.347795791,0.576578251
20171,5120,0.000976563,0.9546875,42424,0.068359375,0.181502388,0.78636561
20173,452869,0.091344296,0.793803506,44145,0.09048312,0.382830428,0.573526622
20175,22510,0.037849845,0.654375833,37433,0.123011995,0.220957614,0.75922292
20177,169871,0.090286158,0.828929011,41873,0.086188932,0.468153765,0.482621381
20179,2813,0.001421969,0.98649129,35702,0.088517597,0.18871726,0.760241773
20181,6760,0.003550296,0.938313609,33946,0.12204142,0.253914989,0.706189411
20183,4536,0.001102293,0.98787478,30306,0.097883598,0.244505495,0.702380952
20185,4789,0.001461683,0.949676342,32246,0.11672583,0.257727273,0.702727273
20187,2406,0.006234414,0.844139651,40660,0.104738155,0.208940719,0.762876579
20189,5463,0.00933553,0.830129965,43365,0.097199341,0.163429654,0.81193747
20191,25946,0.00705311,0.946234487,40872,0.088530024,0.34685301,0.60359656
20193,8180,0.004278729,0.971393643,38338,0.085330073,0.213492063,0.746560847
20195,3319,0.001807773,0.977704128,31269,0.094004218,0.28089276,0.664126293
