STCOU,County Population,Black Population (%),White Population (%),Median Income,% Below Poverty,Blue,Red
34019,128349,0.026887627,0.91363392,100485,0.035808616,0.426290999,0.559664419
34021,366513,0.202770434,0.613923653,70570,0.084507234,0.674373122,0.313817257
34023,809858,0.096883651,0.586015079,74959,0.067473557,0.603747488,0.385324673
34025,630380,0.073674609,0.82603509,80231,0.059456201,0.47578179,0.513195102
34027,492276,0.031202009,0.826128026,96300,0.039130488,0.454709294,0.535935298
34029,576567,0.031503711,0.909828346,59456,0.0835497,0.401712736,0.585775325
34031,501226,0.128275469,0.626465906,51933,0.133179444,0.604375784,0.38716081
34033,66083,0.140868302,0.798344506,52958,0.10321868,0.511558206,0.472403788
34035,323444,0.089483806,0.700609688,90125,0.035922756,0.525033426,0.463899443
34037,149265,0.017934546,0.934606237,80155,0.045777644,0.388920355,0.595841087
34039,536499,0.220527904,0.613331991,64588,0.084287203,0.6367353,0.354655849
34041,108692,0.03512678,0.902890737,70092,0.067189858,0.421504322,0.561924028
35001,662564,0.029660531,0.693759395,45550,0.135242784,0.60031213,0.386737258
35003,3725,0.004295302,0.897718121,29853,0.187919463,0.314393939,0.661931818
35005,65645,0.020153858,0.708629751,34803,0.196907609,0.37070369,0.617357091
35006,27213,0.010105464,0.418402969,32954,0.226031676,0.640540838,0.3441794
35007,13750,0.004654545,0.837963636,38856,0.152509091,0.546679198,0.439379699
35009,48376,0.063151149,0.697205226,37196,0.158797751,0.323452002,0.664842776
35011,2022,0.00148368,0.873392681,28564,0.163204748,0.343869732,0.647509579
35013,209233,0.017473343,0.740748352,35541,0.217609077,0.581437644,0.405138568
35015,53829,0.013802969,0.774062308,47117,0.143862973,0.365848803,0.622107202
35017,29514,0.008639967,0.849020804,34890,0.187538118,0.591930207,0.39302072
35019,4687,0.016855131,0.703648389,27908,0.189246853,0.709016393,0.282331512
35021,695,0.002877698,0.869064748,31242,0.149640288,0.415335463,0.571884984
35023,4894,0.005925623,0.853494074,30153,0.209440131,0.508969759,0.479753972
35025,64727,0.040802138,0.749903441,44035,0.137021645,0.273960847,0.715848753
35027,20497,0.004683612,0.850807435,37895,0.15402254,0.364583333,0.618915017
35028,17950,0.005682451,0.878272981,106148,0.030752089,0.526154124,0.457493902
35029,25095,0.01147639,0.777485555,25833,0.300059773,0.516906475,0.464028777
35031,71492,0.005035528,0.151541431,30794,0.30182398,0.714094885,0.275003232
35033,4881,0.006556034,0.709280885,32837,0.236426962,0.785507246,0.20615942
35035,63797,0.035283791,0.72655454,35557,0.170744706,0.395571074,0.588348801
35037,9041,0.011392545,0.860634886,27517,0.191682336,0.387137137,0.592342342
